heat_no,grade,width_mm,thickness_mm,stage,enter_time,start_time,proc_end_time,exit_time,equipment,reason_code,due_date
H0020,API5L,1000,213,lf_wait,2026-06-01 12:46:22.422758858,2026-06-01 12:46:22.422758858,2026-06-01 12:53:50.152721159,2026-06-01 12:53:50.152721159,LF_WAIT-2,,2026-06-01 18:43:50.018713480
H0020,API5L,1000,213,rh,2026-06-01 12:53:50.152721159,2026-06-01 13:00:27.039304479,2026-06-01 13:29:29.154030635,2026-06-01 13:29:29.154030635,RH-1,,2026-06-01 18:43:50.018713480
H0020,API5L,1000,213,tundish,2026-06-01 13:29:29.154030635,2026-06-01 13:29:29.154030635,2026-06-01 13:34:41.545691489,2026-06-01 13:44:14.162742248,TUNDISH-1,,2026-06-01 18:43:50.018713480
H0020,API5L,1000,213,mold,2026-06-01 13:44:14.162742248,2026-06-01 13:44:14.162742248,2026-06-01 14:07:46.243715727,2026-06-01 14:07:46.243715727,MOLD-1,강종전환셋업,2026-06-01 18:43:50.018713480
H0020,API5L,1000,213,cooling,2026-06-01 14:07:46.243715727,2026-06-01 14:07:46.243715727,2026-06-01 14:29:50.437383738,2026-06-01 14:29:50.437383738,COOLING-4,,2026-06-01 18:43:50.018713480
H0020,API5L,1000,213,yard,2026-06-01 14:29:50.437383738,2026-06-01 14:29:50.437383738,2026-06-01 14:35:24.810442328,2026-06-01 14:35:24.810442328,YARD-1,,2026-06-01 18:43:50.018713480
H0021,API5L,1250,279,ld,2026-06-01 12:59:15.339754814,2026-06-01 12:59:15.339754814,2026-06-01 13:06:04.984368688,2026-06-01 13:06:04.984368688,LD-1,,2026-06-01 22:04:32.469792150
H0021,API5L,1250,279,lf_wait,2026-06-01 13:06:04.984368688,2026-06-01 13:06:04.984368688,2026-06-01 13:11:55.521360046,2026-06-01 13:11:55.521360046,LF_WAIT-3,,2026-06-01 22:04:32.469792150
H0021,API5L,1250,279,rh,2026-06-01 13:11:55.521360046,2026-06-01 13:29:29.154030635,2026-06-01 13:53:44.936653580,2026-06-01 13:53:44.936653580,RH-1,,2026-06-01 22:04:32.469792150
H0021,API5L,1250,279,tundish,2026-06-01 13:53:44.936653580,2026-06-01 13:53:44.936653580,2026-06-01 13:59:09.266096644,2026-06-01 14:07:46.243715727,TUNDISH-1,,2026-06-01 22:04:32.469792150
H0021,API5L,1250,279,mold,2026-06-01 14:07:46.243715727,2026-06-01 14:07:46.243715727,2026-06-01 14:28:11.624759762,2026-06-01 14:28:11.624759762,MOLD-1,폭변경셋업,2026-06-01 22:04:32.469792150
H0021,API5L,1250,279,cooling,2026-06-01 14:28:11.624759762,2026-06-01 14:28:11.624759762,2026-06-01 14:47:55.527203452,2026-06-01 14:47:55.527203452,COOLING-1,,2026-06-01 22:04:32.469792150
H0021,API5L,1250,279,yard,2026-06-01 14:47:55.527203452,2026-06-01 14:47:55.527203452,2026-06-01 15:07:13.082153349,2026-06-01 15:07:13.082153349,YARD-1,크레인대기,2026-06-01 22:04:32.469792150
H0022,API5L,1500,283,ld,2026-06-01 13:20:17.339815136,2026-06-01 13:20:17.339815136,2026-06-01 13:27:00.630136715,2026-06-01 13:27:00.630136715,LD-1,,2026-06-01 19:59:19.917778835
H0022,API5L,1500,283,lf_wait,2026-06-01 13:27:00.630136715,2026-06-01 13:27:00.630136715,2026-06-01 13:34:00.928034186,2026-06-01 13:34:00.928034186,LF_WAIT-1,,2026-06-01 19:59:19.917778835
H0022,API5L,1500,283,rh,2026-06-01 13:34:00.928034186,2026-06-01 13:53:44.936653580,2026-06-01 14:21:12.850446441,2026-06-01 14:21:12.850446441,RH-1,,2026-06-01 19:59:19.917778835
H0022,API5L,1500,283,tundish,2026-06-01 14:21:12.850446441,2026-06-01 14:21:12.850446441,2026-06-01 14:26:59.715688759,2026-06-01 14:28:11.624759762,TUNDISH-1,,2026-06-01 19:59:19.917778835
H0022,API5L,1500,283,mold,2026-06-01 14:28:11.624759762,2026-06-01 14:28:11.624759762,2026-06-01 14:44:44.384799724,2026-06-01 14:44:44.384799724,MOLD-1,폭변경셋업,2026-06-01 19:59:19.917778835
H0022,API5L,1500,283,cooling,2026-06-01 14:44:44.384799724,2026-06-01 14:44:44.384799724,2026-06-01 15:01:43.848034287,2026-06-01 15:01:43.848034287,COOLING-2,,2026-06-01 19:59:19.917778835
H0022,API5L,1500,283,yard,2026-06-01 15:01:43.848034287,2026-06-01 15:01:43.848034287,2026-06-01 15:08:45.993091105,2026-06-01 15:08:45.993091105,YARD-1,,2026-06-01 19:59:19.917778835
H0023,SUS304,1450,278,ld,2026-06-01 13:43:23.937046709,2026-06-01 13:43:23.937046709,2026-06-01 13:49:29.616552292,2026-06-01 13:49:29.616552292,LD-1,,2026-06-01 18:09:37.026797095
H0023,SUS304,1450,278,lf_wait,2026-06-01 13:49:29.616552292,2026-06-01 13:49:29.616552292,2026-06-01 13:55:03.615226382,2026-06-01 13:55:03.615226382,LF_WAIT-2,,2026-06-01 18:09:37.026797095
H0023,SUS304,1450,278,lf,2026-06-01 13:55:03.615226382,2026-06-01 13:55:03.615226382,2026-06-01 14:13:55.186163394,2026-06-01 14:13:55.186163394,LF-1,,2026-06-01 18:09:37.026797095
H0023,SUS304,1450,278,tundish,2026-06-01 14:13:55.186163394,2026-06-01 14:28:11.624759762,2026-06-01 14:55:38.080879512,2026-06-01 14:55:38.080879512,TUNDISH-1,설비점검,2026-06-01 18:09:37.026797095
H0023,SUS304,1450,278,mold,2026-06-01 14:55:38.080879512,2026-06-01 14:55:38.080879512,2026-06-01 15:16:53.048765913,2026-06-01 15:16:53.048765913,MOLD-1,강종전환셋업,2026-06-01 18:09:37.026797095
H0023,SUS304,1450,278,cooling,2026-06-01 15:16:53.048765913,2026-06-01 15:16:53.048765913,2026-06-01 15:37:11.682653321,2026-06-01 15:37:11.682653321,COOLING-3,,2026-06-01 18:09:37.026797095
H0023,SUS304,1450,278,yard,2026-06-01 15:37:11.682653321,2026-06-01 15:37:11.682653321,2026-06-01 15:43:37.949087661,2026-06-01 15:43:37.949087661,YARD-1,,2026-06-01 18:09:37.026797095
H0024,SUS304,1050,259,ld,2026-06-01 14:03:40.218655820,2026-06-01 14:03:40.218655820,2026-06-01 14:10:11.963789679,2026-06-01 14:10:11.963789679,LD-1,,2026-06-01 23:59:18.695642055
H0024,SUS304,1050,259,lf_wait,2026-06-01 14:10:11.963789679,2026-06-01 14:10:11.963789679,2026-06-01 14:17:26.329122995,2026-06-01 14:17:26.329122995,LF_WAIT-3,,2026-06-01 23:59:18.695642055
H0024,SUS304,1050,259,lf,2026-06-01 14:17:26.329122995,2026-06-01 14:17:26.329122995,2026-06-01 14:37:55.055474266,2026-06-01 14:37:55.055474266,LF-1,,2026-06-01 23:59:18.695642055
H0024,SUS304,1050,259,tundish,2026-06-01 14:37:55.055474266,2026-06-01 14:55:38.080879512,2026-06-01 15:02:43.682839951,2026-06-01 15:16:53.048765913,TUNDISH-1,,2026-06-01 23:59:18.695642055
H0024,SUS304,1050,259,mold,2026-06-01 15:16:53.048765913,2026-06-01 15:16:53.048765913,2026-06-01 15:37:21.922005762,2026-06-01 15:37:21.922005762,MOLD-1,폭변경셋업,2026-06-01 23:59:18.695642055
H0024,SUS304,1050,259,cooling,2026-06-01 15:37:21.922005762,2026-06-01 15:37:21.922005762,2026-06-01 15:54:31.892754698,2026-06-01 15:54:31.892754698,COOLING-4,,2026-06-01 23:59:18.695642055
H0024,SUS304,1050,259,yard,2026-06-01 15:54:31.892754698,2026-06-01 15:54:31.892754698,2026-06-01 16:01:09.716001593,2026-06-01 16:01:09.716001593,YARD-1,,2026-06-01 23:59:18.695642055
H0025,SS400,1550,230,ld,2026-06-01 14:23:05.903387260,2026-06-01 14:23:05.903387260,2026-06-01 14:28:53.048240984,2026-06-01 14:28:53.048240984,LD-1,,2026-06-01 18:50:59.543830738
H0025,SS400,1550,230,lf_wait,2026-06-01 14:28:53.048240984,2026-06-01 14:28:53.048240984,2026-06-01 14:34:45.086418836,2026-06-01 14:34:45.086418836,LF_WAIT-1,,2026-06-01 18:50:59.543830738
H0025,SS400,1550,230,tundish,2026-06-01 14:34:45.086418836,2026-06-01 15:16:53.048765913,2026-06-01 15:22:18.974630771,2026-06-01 15:37:21.922005762,TUNDISH-1,,2026-06-01 18:50:59.543830738
H0025,SS400,1550,230,mold,2026-06-01 15:37:21.922005762,2026-06-01 15:37:21.922005762,2026-06-01 16:01:08.090442714,2026-06-01 16:01:08.090442714,MOLD-1,강종전환셋업,2026-06-01 18:50:59.543830738
H0025,SS400,1550,230,cooling,2026-06-01 16:01:08.090442714,2026-06-01 16:01:08.090442714,2026-06-01 16:19:22.173370409,2026-06-01 16:19:22.173370409,COOLING-1,,2026-06-01 18:50:59.543830738
H0025,SS400,1550,230,yard,2026-06-01 16:19:22.173370409,2026-06-01 16:19:22.173370409,2026-06-01 16:25:28.044860119,2026-06-01 16:25:28.044860119,YARD-1,,2026-06-01 18:50:59.543830738
H0026,SS400,1600,274,ld,2026-06-01 14:46:47.054888061,2026-06-01 14:46:47.054888061,2026-06-01 14:53:59.869448938,2026-06-01 14:53:59.869448938,LD-1,,2026-06-01 18:53:48.945153595
H0026,SS400,1600,274,lf_wait,2026-06-01 14:53:59.869448938,2026-06-01 14:53:59.869448938,2026-06-01 15:00:14.554530426,2026-06-01 15:00:14.554530426,LF_WAIT-2,,2026-06-01 18:53:48.945153595
H0026,SS400,1600,274,tundish,2026-06-01 15:00:14.554530426,2026-06-01 15:37:21.922005762,2026-06-01 15:43:10.922227703,2026-06-01 16:01:08.090442714,TUNDISH-1,,2026-06-01 18:53:48.945153595
H0026,SS400,1600,274,mold,2026-06-01 16:01:08.090442714,2026-06-01 16:01:08.090442714,2026-06-01 16:15:36.883206800,2026-06-01 16:15:36.883206800,MOLD-1,,2026-06-01 18:53:48.945153595
H0026,SS400,1600,274,cooling,2026-06-01 16:15:36.883206800,2026-06-01 16:15:36.883206800,2026-06-01 16:34:47.394492007,2026-06-01 16:34:47.394492007,COOLING-2,,2026-06-01 18:53:48.945153595
H0026,SS400,1600,274,yard,2026-06-01 16:34:47.394492007,2026-06-01 16:34:47.394492007,2026-06-01 16:41:48.575508622,2026-06-01 16:41:48.575508622,YARD-1,,2026-06-01 18:53:48.945153595
H0027,SS400,1250,255,ld,2026-06-01 15:05:56.554078511,2026-06-01 15:05:56.554078511,2026-06-01 15:12:38.871879880,2026-06-01 15:12:38.871879880,LD-1,,2026-06-01 21:25:55.869668627
H0027,SS400,1250,255,lf_wait,2026-06-01 15:12:38.871879880,2026-06-01 15:12:38.871879880,2026-06-01 15:19:29.153998258,2026-06-01 15:19:29.153998258,LF_WAIT-3,,2026-06-01 21:25:55.869668627
H0027,SS400,1250,255,tundish,2026-06-01 15:19:29.153998258,2026-06-01 16:01:08.090442714,2026-06-01 16:08:26.504436090,2026-06-01 16:15:36.883206800,TUNDISH-1,,2026-06-01 21:25:55.869668627
H0027,SS400,1250,255,mold,2026-06-01 16:15:36.883206800,2026-06-01 16:15:36.883206800,2026-06-01 16:35:00.373739126,2026-06-01 16:35:00.373739126,MOLD-1,폭변경셋업,2026-06-01 21:25:55.869668627
H0027,SS400,1250,255,cooling,2026-06-01 16:35:00.373739126,2026-06-01 16:35:00.373739126,2026-06-01 16:55:04.789634079,2026-06-01 16:55:04.789634079,COOLING-3,,2026-06-01 21:25:55.869668627
H0027,SS400,1250,255,yard,2026-06-01 16:55:04.789634079,2026-06-01 16:55:04.789634079,2026-06-01 17:01:12.509872910,2026-06-01 17:01:12.509872910,YARD-1,,2026-06-01 21:25:55.869668627
H0028,SUS304,1250,248,ld,2026-06-01 15:26:18.564640066,2026-06-01 15:26:18.564640066,2026-06-01 15:32:13.164718988,2026-06-01 15:32:13.164718988,LD-1,,2026-06-01 22:10:00.070060422
H0028,SUS304,1250,248,lf_wait,2026-06-01 15:32:13.164718988,2026-06-01 15:32:13.164718988,2026-06-01 15:37:59.233671639,2026-06-01 15:37:59.233671639,LF_WAIT-1,,2026-06-01 22:10:00.070060422
H0028,SUS304,1250,248,lf,2026-06-01 15:37:59.233671639,2026-06-01 15:37:59.233671639,2026-06-01 15:56:19.349676798,2026-06-01 15:56:19.349676798,LF-1,,2026-06-01 22:10:00.070060422
H0028,SUS304,1250,248,tundish,2026-06-01 15:56:19.349676798,2026-06-01 16:15:36.883206800,2026-06-01 16:21:50.607391214,2026-06-01 16:35:00.373739126,TUNDISH-1,,2026-06-01 22:10:00.070060422
H0028,SUS304,1250,248,mold,2026-06-01 16:35:00.373739126,2026-06-01 16:35:00.373739126,2026-06-01 16:57:10.065483557,2026-06-01 16:57:10.065483557,MOLD-1,강종전환셋업,2026-06-01 22:10:00.070060422
H0028,SUS304,1250,248,cooling,2026-06-01 16:57:10.065483557,2026-06-01 16:57:10.065483557,2026-06-01 17:12:57.708619592,2026-06-01 17:12:57.708619592,COOLING-4,,2026-06-01 22:10:00.070060422
H0028,SUS304,1250,248,yard,2026-06-01 17:12:57.708619592,2026-06-01 17:12:57.708619592,2026-06-01 17:30:21.734761205,2026-06-01 17:30:21.734761205,YARD-1,설비점검,2026-06-01 22:10:00.070060422
H0029,SS400,1050,216,ld,2026-06-01 15:47:53.654654627,2026-06-01 15:47:53.654654627,2026-06-01 15:55:16.131665826,2026-06-01 15:55:16.131665826,LD-1,,2026-06-01 20:29:04.466690588
H0029,SS400,1050,216,lf_wait,2026-06-01 15:55:16.131665826,2026-06-01 15:55:16.131665826,2026-06-01 16:00:59.030758130,2026-06-01 16:00:59.030758130,LF_WAIT-2,,2026-06-01 20:29:04.466690588
H0029,SS400,1050,216,tundish,2026-06-01 16:00:59.030758130,2026-06-01 16:35:00.373739126,2026-06-01 16:41:33.622286854,2026-06-01 16:57:10.065483557,TUNDISH-1,,2026-06-01 20:29:04.466690588
H0029,SS400,1050,216,mold,2026-06-01 16:57:10.065483557,2026-06-01 16:57:10.065483557,2026-06-01 17:21:28.957444415,2026-06-01 17:21:28.957444415,MOLD-1,강종전환셋업,2026-06-01 20:29:04.466690588
H0029,SS400,1050,216,cooling,2026-06-01 17:21:28.957444415,2026-06-01 17:21:28.957444415,2026-06-01 17:39:01.326257681,2026-06-01 17:39:01.326257681,COOLING-1,,2026-06-01 20:29:04.466690588
H0029,SS400,1050,216,yard,2026-06-01 17:39:01.326257681,2026-06-01 17:39:01.326257681,2026-06-01 17:46:21.086009931,2026-06-01 17:46:21.086009931,YARD-1,,2026-06-01 20:29:04.466690588
H0030,API5L,1450,250,ld,2026-06-01 16:10:45.952943649,2026-06-01 16:10:45.952943649,2026-06-01 16:17:17.215035668,2026-06-01 16:17:17.215035668,LD-1,,2026-06-01 21:22:09.876128830
H0030,API5L,1450,250,lf_wait,2026-06-01 16:17:17.215035668,2026-06-01 16:17:17.215035668,2026-06-01 16:22:58.185346465,2026-06-01 16:22:58.185346465,LF_WAIT-3,,2026-06-01 21:22:09.876128830
H0030,API5L,1450,250,rh,2026-06-01 16:22:58.185346465,2026-06-01 16:22:58.185346465,2026-06-01 16:46:15.896973305,2026-06-01 16:46:15.896973305,RH-1,,2026-06-01 21:22:09.876128830
H0030,API5L,1450,250,tundish,2026-06-01 16:46:15.896973305,2026-06-01 16:57:10.065483557,2026-06-01 17:04:12.061510322,2026-06-01 17:21:28.957444415,TUNDISH-1,,2026-06-01 21:22:09.876128830
H0030,API5L,1450,250,mold,2026-06-01 17:21:28.957444415,2026-06-01 17:21:28.957444415,2026-06-01 17:40:38.730907234,2026-06-01 17:40:38.730907234,MOLD-1,강종전환셋업,2026-06-01 21:22:09.876128830
H0030,API5L,1450,250,cooling,2026-06-01 17:40:38.730907234,2026-06-01 17:40:38.730907234,2026-06-01 18:00:42.508126410,2026-06-01 18:00:42.508126410,COOLING-2,,2026-06-01 21:22:09.876128830
H0030,API5L,1450,250,yard,2026-06-01 18:00:42.508126410,2026-06-01 18:00:42.508126410,2026-06-01 18:22:30.214270652,2026-06-01 18:22:30.214270652,YARD-1,크레인대기,2026-06-01 21:22:09.876128830
H0031,SUS304,1250,281,ld,2026-06-01 16:31:33.978003553,2026-06-01 16:31:33.978003553,2026-06-01 16:37:02.008729022,2026-06-01 16:37:02.008729022,LD-1,,2026-06-01 23:17:04.347911750
H0031,SUS304,1250,281,lf_wait,2026-06-01 16:37:02.008729022,2026-06-01 16:37:02.008729022,2026-06-01 16:43:23.140260581,2026-06-01 16:43:23.140260581,LF_WAIT-1,,2026-06-01 23:17:04.347911750
H0031,SUS304,1250,281,lf,2026-06-01 16:43:23.140260581,2026-06-01 16:43:23.140260581,2026-06-01 17:03:07.214397532,2026-06-01 17:03:07.214397532,LF-1,,2026-06-01 23:17:04.347911750
H0031,SUS304,1250,281,tundish,2026-06-01 17:03:07.214397532,2026-06-01 17:21:28.957444415,2026-06-01 17:28:26.505813268,2026-06-01 17:40:38.730907234,TUNDISH-1,,2026-06-01 23:17:04.347911750
H0031,SUS304,1250,281,mold,2026-06-01 17:40:38.730907234,2026-06-01 17:40:38.730907234,2026-06-01 18:04:21.833334442,2026-06-01 18:04:21.833334442,MOLD-1,강종전환셋업,2026-06-01 23:17:04.347911750
H0031,SUS304,1250,281,cooling,2026-06-01 18:04:21.833334442,2026-06-01 18:04:21.833334442,2026-06-01 18:21:25.887247490,2026-06-01 18:21:25.887247490,COOLING-3,,2026-06-01 23:17:04.347911750
H0031,SUS304,1250,281,yard,2026-06-01 18:21:25.887247490,2026-06-01 18:21:25.887247490,2026-06-01 18:27:12.052915373,2026-06-01 18:27:12.052915373,YARD-1,,2026-06-01 23:17:04.347911750
H0032,API5L,1500,278,ld,2026-06-01 16:51:40.365232906,2026-06-01 16:51:40.365232906,2026-06-01 16:57:57.545369426,2026-06-01 16:57:57.545369426,LD-1,,2026-06-01 22:52:46.532222559
H0032,API5L,1500,278,lf_wait,2026-06-01 16:57:57.545369426,2026-06-01 16:57:57.545369426,2026-06-01 17:04:13.752559690,2026-06-01 17:04:13.752559690,LF_WAIT-2,,2026-06-01 22:52:46.532222559
H0032,API5L,1500,278,rh,2026-06-01 17:04:13.752559690,2026-06-01 17:04:13.752559690,2026-06-01 17:27:06.563547192,2026-06-01 17:27:06.563547192,RH-1,,2026-06-01 22:52:46.532222559
H0032,API5L,1500,278,tundish,2026-06-01 17:27:06.563547192,2026-06-01 17:40:38.730907234,2026-06-01 17:47:10.577228376,2026-06-01 18:04:21.833334442,TUNDISH-1,,2026-06-01 22:52:46.532222559
H0032,API5L,1500,278,mold,2026-06-01 18:04:21.833334442,2026-06-01 18:04:21.833334442,2026-06-01 18:26:19.886961100,2026-06-01 18:26:19.886961100,MOLD-1,강종전환셋업,2026-06-01 22:52:46.532222559
H0032,API5L,1500,278,cooling,2026-06-01 18:26:19.886961100,2026-06-01 18:26:19.886961100,2026-06-01 18:43:22.152774860,2026-06-01 18:43:22.152774860,COOLING-4,,2026-06-01 22:52:46.532222559
H0032,API5L,1500,278,yard,2026-06-01 18:43:22.152774860,2026-06-01 18:43:22.152774860,2026-06-01 18:49:48.098149327,2026-06-01 18:49:48.098149327,YARD-1,,2026-06-01 22:52:46.532222559
H0033,SS400,1550,262,ld,2026-06-01 17:11:47.561891900,2026-06-01 17:11:47.561891900,2026-06-01 17:17:35.931815610,2026-06-01 17:17:35.931815610,LD-1,,2026-06-01 21:18:00.016293824
H0033,SS400,1550,262,lf_wait,2026-06-01 17:17:35.931815610,2026-06-01 17:17:35.931815610,2026-06-01 17:23:16.967759208,2026-06-01 17:23:16.967759208,LF_WAIT-3,,2026-06-01 21:18:00.016293824
H0033,SS400,1550,262,tundish,2026-06-01 17:23:16.967759208,2026-06-01 18:04:21.833334442,2026-06-01 18:10:20.972279337,2026-06-01 18:26:19.886961100,TUNDISH-1,,2026-06-01 21:18:00.016293824
H0033,SS400,1550,262,mold,2026-06-01 18:26:19.886961100,2026-06-01 18:26:19.886961100,2026-06-01 18:50:09.676417639,2026-06-01 18:50:09.676417639,MOLD-1,강종전환셋업,2026-06-01 21:18:00.016293824
H0033,SS400,1550,262,cooling,2026-06-01 18:50:09.676417639,2026-06-01 18:50:09.676417639,2026-06-01 19:07:59.658565568,2026-06-01 19:07:59.658565568,COOLING-1,,2026-06-01 21:18:00.016293824
H0033,SS400,1550,262,yard,2026-06-01 19:07:59.658565568,2026-06-01 19:07:59.658565568,2026-06-01 19:13:49.812276322,2026-06-01 19:13:49.812276322,YARD-1,,2026-06-01 21:18:00.016293824
H0034,SS400,1250,215,ld,2026-06-01 17:33:58.291455273,2026-06-01 17:33:58.291455273,2026-06-01 17:40:43.675007069,2026-06-01 17:40:43.675007069,LD-1,,2026-06-02 03:16:17.246759771
H0034,SS400,1250,215,lf_wait,2026-06-01 17:40:43.675007069,2026-06-01 17:40:43.675007069,2026-06-01 17:47:36.034077174,2026-06-01 17:47:36.034077174,LF_WAIT-1,,2026-06-02 03:16:17.246759771
H0034,SS400,1250,215,tundish,2026-06-01 17:47:36.034077174,2026-06-01 18:26:19.886961100,2026-06-01 18:32:50.787475558,2026-06-01 18:50:09.676417639,TUNDISH-1,,2026-06-02 03:16:17.246759771
H0034,SS400,1250,215,mold,2026-06-01 18:50:09.676417639,2026-06-01 18:50:09.676417639,2026-06-01 19:10:08.874702217,2026-06-01 19:10:08.874702217,MOLD-1,폭변경셋업,2026-06-02 03:16:17.246759771
H0034,SS400,1250,215,cooling,2026-06-01 19:10:08.874702217,2026-06-01 19:10:08.874702217,2026-06-01 19:27:34.853174347,2026-06-01 19:27:34.853174347,COOLING-2,,2026-06-02 03:16:17.246759771
H0034,SS400,1250,215,yard,2026-06-01 19:27:34.853174347,2026-06-01 19:27:34.853174347,2026-06-01 19:33:24.379707131,2026-06-01 19:33:24.379707131,YARD-1,,2026-06-02 03:16:17.246759771
H0035,SUS304,1000,206,ld,2026-06-01 17:54:12.806152031,2026-06-01 17:54:12.806152031,2026-06-01 17:59:36.990399017,2026-06-01 17:59:36.990399017,LD-1,,2026-06-02 02:05:17.021838891
H0035,SUS304,1000,206,lf_wait,2026-06-01 17:59:36.990399017,2026-06-01 17:59:36.990399017,2026-06-01 18:05:53.676931028,2026-06-01 18:05:53.676931028,LF_WAIT-2,,2026-06-02 02:05:17.021838891
H0035,SUS304,1000,206,lf,2026-06-01 18:05:53.676931028,2026-06-01 18:05:53.676931028,2026-06-01 18:25:19.672673906,2026-06-01 18:25:19.672673906,LF-1,,2026-06-02 02:05:17.021838891
H0035,SUS304,1000,206,tundish,2026-06-01 18:25:19.672673906,2026-06-01 18:50:09.676417639,2026-06-01 18:56:19.103924570,2026-06-01 19:10:08.874702217,TUNDISH-1,,2026-06-02 02:05:17.021838891
H0035,SUS304,1000,206,mold,2026-06-01 19:10:08.874702217,2026-06-01 19:10:08.874702217,2026-06-01 19:32:14.454091602,2026-06-01 19:32:14.454091602,MOLD-1,강종전환셋업,2026-06-02 02:05:17.021838891
H0035,SUS304,1000,206,cooling,2026-06-01 19:32:14.454091602,2026-06-01 19:32:14.454091602,2026-06-01 19:53:27.608050371,2026-06-01 19:53:27.608050371,COOLING-3,,2026-06-02 02:05:17.021838891
H0035,SUS304,1000,206,yard,2026-06-01 19:53:27.608050371,2026-06-01 19:53:27.608050371,2026-06-01 19:58:44.275882887,2026-06-01 19:58:44.275882887,YARD-1,,2026-06-02 02:05:17.021838891
H0036,SUS304,1050,272,ld,2026-06-01 18:16:47.790154165,2026-06-01 18:16:47.790154165,2026-06-01 18:22:29.529651715,2026-06-01 18:22:29.529651715,LD-1,,2026-06-01 22:47:27.697775523
H0036,SUS304,1050,272,lf_wait,2026-06-01 18:22:29.529651715,2026-06-01 18:22:29.529651715,2026-06-01 18:28:35.458710798,2026-06-01 18:28:35.458710798,LF_WAIT-3,,2026-06-01 22:47:27.697775523
H0036,SUS304,1050,272,lf,2026-06-01 18:28:35.458710798,2026-06-01 18:28:35.458710798,2026-06-01 18:48:20.615439076,2026-06-01 18:48:20.615439076,LF-1,,2026-06-01 22:47:27.697775523
H0036,SUS304,1050,272,tundish,2026-06-01 18:48:20.615439076,2026-06-01 19:10:08.874702217,2026-06-01 19:16:09.649137982,2026-06-01 19:32:14.454091602,TUNDISH-1,,2026-06-01 22:47:27.697775523
H0036,SUS304,1050,272,mold,2026-06-01 19:32:14.454091602,2026-06-01 19:32:14.454091602,2026-06-01 19:43:52.091793767,2026-06-01 19:43:52.091793767,MOLD-1,,2026-06-01 22:47:27.697775523
H0036,SUS304,1050,272,cooling,2026-06-01 19:43:52.091793767,2026-06-01 19:43:52.091793767,2026-06-01 20:02:15.346282979,2026-06-01 20:02:15.346282979,COOLING-4,,2026-06-01 22:47:27.697775523
H0036,SUS304,1050,272,yard,2026-06-01 20:02:15.346282979,2026-06-01 20:02:15.346282979,2026-06-01 20:07:30.019446808,2026-06-01 20:07:30.019446808,YARD-1,,2026-06-01 22:47:27.697775523
H0037,SUS304,1600,226,ld,2026-06-01 18:36:30.123607297,2026-06-01 18:36:30.123607297,2026-06-01 18:41:47.814602324,2026-06-01 18:41:47.814602324,LD-1,,2026-06-02 00:11:46.479913561
H0037,SUS304,1600,226,lf_wait,2026-06-01 18:41:47.814602324,2026-06-01 18:41:47.814602324,2026-06-01 18:48:13.301485687,2026-06-01 18:48:13.301485687,LF_WAIT-1,,2026-06-02 00:11:46.479913561
H0037,SUS304,1600,226,lf,2026-06-01 18:48:13.301485687,2026-06-01 18:48:20.615439076,2026-06-01 19:06:35.095030465,2026-06-01 19:06:35.095030465,LF-1,,2026-06-02 00:11:46.479913561
H0037,SUS304,1600,226,tundish,2026-06-01 19:06:35.095030465,2026-06-01 19:32:14.454091602,2026-06-01 19:51:21.988475964,2026-06-01 19:51:21.988475964,TUNDISH-1,온도조정,2026-06-02 00:11:46.479913561
H0037,SUS304,1600,226,mold,2026-06-01 19:51:21.988475964,2026-06-01 19:51:21.988475964,2026-06-01 20:09:45.416411032,2026-06-01 20:09:45.416411032,MOLD-1,폭변경셋업,2026-06-02 00:11:46.479913561
H0037,SUS304,1600,226,cooling,2026-06-01 20:09:45.416411032,2026-06-01 20:09:45.416411032,2026-06-01 20:31:42.545982248,2026-06-01 20:31:42.545982248,COOLING-1,,2026-06-02 00:11:46.479913561
H0037,SUS304,1600,226,yard,2026-06-01 20:31:42.545982248,2026-06-01 20:31:42.545982248,2026-06-01 20:38:18.554335279,2026-06-01 20:38:18.554335279,YARD-1,,2026-06-02 00:11:46.479913561
H0038,API5L,1450,214,ld,2026-06-01 18:57:10.694970890,2026-06-01 18:57:10.694970890,2026-06-01 19:04:27.506219000,2026-06-01 19:04:27.506219000,LD-1,,2026-06-02 02:50:19.604996383
H0038,API5L,1450,214,lf_wait,2026-06-01 19:04:27.506219000,2026-06-01 19:04:27.506219000,2026-06-01 19:09:43.789235507,2026-06-01 19:09:43.789235507,LF_WAIT-2,,2026-06-02 02:50:19.604996383
H0038,API5L,1450,214,rh,2026-06-01 19:09:43.789235507,2026-06-01 19:09:43.789235507,2026-06-01 19:33:04.973639572,2026-06-01 19:33:04.973639572,RH-1,,2026-06-02 02:50:19.604996383
H0038,API5L,1450,214,tundish,2026-06-01 19:33:04.973639572,2026-06-01 19:51:21.988475964,2026-06-01 19:57:49.954291065,2026-06-01 20:09:45.416411032,TUNDISH-1,,2026-06-02 02:50:19.604996383
H0038,API5L,1450,214,mold,2026-06-01 20:09:45.416411032,2026-06-01 20:09:45.416411032,2026-06-01 20:30:41.154341422,2026-06-01 20:30:41.154341422,MOLD-1,강종전환셋업,2026-06-02 02:50:19.604996383
H0038,API5L,1450,214,cooling,2026-06-01 20:30:41.154341422,2026-06-01 20:30:41.154341422,2026-06-01 20:52:46.390477423,2026-06-01 20:52:46.390477423,COOLING-2,,2026-06-02 02:50:19.604996383
